,Smiles,elu1_smiles,elu2_smiles,ratio1,ratio2,Rf,Rf_type,DataSource,doi
36,O=S(Cc1ccc2ccccc2c1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
37,CCOC(=O)c1cccc(CS(=O)c2ccccc2)c1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
38,CCOC(=O)c1ccccc1CS(=O)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
39,O=S(Cc1cccs1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
40,O=S(Cc1ccc2c(c1)OCO2)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
41,O=S(Cc1ccc2c(c1)CCO2)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
42,CC(C)=CCC/C(C)=C/COC(=O)c1ccc(CS(=O)c2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
43,CC(C)Cc1ccc(C(C)C(=O)OCc2ccc(CS(=O)c3ccccc3)cc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
44,Cc1ccc(S(=O)Cc2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
45,COc1ccc(S(=O)Cc2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
46,O=S(Cc1ccccc1)c1ccc(F)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
47,O=S(Cc1ccccc1)c1ccc(Cl)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
48,O=S(Cc1ccccc1)c1ccc(C(F)(F)F)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
49,O=S(Cc1ccccc1)c1cccc(F)c1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
50,Cc1ccccc1S(=O)Cc1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
51,COc1ccccc1S(=O)Cc1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
52,O=[S@](Cc1ccccc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
53,CC(C)(C)c1ccc(C[S@@](=O)c2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
54,O=[S@](Cc1ccc(Cl)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
55,O=[S@](Cc1ccc(OC(F)(F)F)cc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
56,COc1ccccc1C[S@@](=O)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
57,O=[S@](Cc1ccc2ccccc2c1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
58,O=[S@](Cc1cccs1)c1ccccc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.6,Q,D4C,10.1021/acs.orglett.3c03619
59,N=S(=O)(Cc1ccccc1)c1ccccc1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.4,Q,D4C,10.1021/acs.orglett.3c03619
60,O=c1ccccn1Cc1ccc(Cl)cc1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.3,Q,D4C,10.1021/acs.orglett.3c03619
61,Cc1ccc(S(=O)/C=C/CCc2ccccc2)cc1,CCCCCC,CCOC(C)=O,0.599747,0.400253,0.5,Q,D4C,10.1021/acs.orglett.3c03619
62,c1ccc2nc(N3CCCC3)ccc2c1,CCCCCC,CCOC(C)=O,0.428314,0.571686,0.5,C,D4C,10.1021/acs.orglett.3c03742
63,c1ccc2nc(N3CCOCC3)ccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.42,C,D4C,10.1021/acs.orglett.3c03742
64,CC1CCCCN1c1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.43,C,D4C,10.1021/acs.orglett.3c03742
65,CC1CCCN(c2ccc3ccccc3n2)C1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.42,C,D4C,10.1021/acs.orglett.3c03742
66,c1ccc2nc(NC3CCCCC3)ccc2c1,CCCCCC,CCOC(C)=O,0.789299,0.210701,0.7,C,D4C,10.1021/acs.orglett.3c03742
67,CCCCNc1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.33,C,D4C,10.1021/acs.orglett.3c03742
68,CC(C)Nc1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.43,C,D4C,10.1021/acs.orglett.3c03742
69,CC(C)(C)Nc1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.23,C,D4C,10.1021/acs.orglett.3c03742
70,CCCCN(CCCC)c1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.52,C,D4C,10.1021/acs.orglett.3c03742
71,c1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.33,C,D4C,10.1021/acs.orglett.3c03742
72,COc1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.57,C,D4C,10.1021/acs.orglett.3c03742
73,Fc1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.937438,0.062562,0.52,C,D4C,10.1021/acs.orglett.3c03742
74,Clc1ccc(Nc2ccc3ccccc3n2)cc1,CCCCCC,CCOC(C)=O,0.789299,0.210701,0.68,C,D4C,10.1021/acs.orglett.3c03742
75,Nc1nc2ccccc2cc1-c1ccc(Br)cc1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.51,C,D4C,10.1021/acs.orglett.3c03742
76,CN(c1ccccc1)c1ccc2ccccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.63,C,D4C,10.1021/acs.orglett.3c03742
77,CC(C)(C)Nc1ccc2cc(Br)ccc2n1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.63,C,D4C,10.1021/acs.orglett.3c03742
78,COc1ccc2nc(NC(C)(C)C)ccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.51,C,D4C,10.1021/acs.orglett.3c03742
79,COC(=O)c1ccc2nc(NC(C)(C)C)ccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.5,C,D4C,10.1021/acs.orglett.3c03742
80,Cc1ccc2nc(NC(C)(C)C)ccc2c1,CCCCCC,CCOC(C)=O,0.882244,0.117756,0.63,C,D4C,10.1021/acs.orglett.3c03742
